,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
604,GeForce RTX 2060 with Max-Q Design,9744,251,,
605,GeForce RTX 2070,16100,113,41.34,$389.46*
606,GeForce RTX 2070 (Mobile),12357,192,,
607,GeForce RTX 2070 SUPER,18186,89,33.68,$539.99*
608,GeForce RTX 2070 Super with Max-Q Design,13609,160,,
609,GeForce RTX 2070 with Max-Q Design,11530,217,,
610,GeForce RTX 2080,18750,85,23.42,$800.61*
611,GeForce RTX 2080 (Mobile),15013,139,,
612,GeForce RTX 2080 SUPER,19499,79,28.47,$684.86*
613,GeForce RTX 2080 Super with Max-Q Design,13592,162,,
614,GeForce RTX 2080 Ti,21587,59,16.61,"$1,299.99*"
615,GeForce RTX 2080 with Max-Q Design,12856,182,6.12,"$2,099.99*"
616,GeForce RTX 3050 4GB Laptop GPU,9467,261,35.07,$269.99*
617,GeForce RTX 3050 6GB,10732,230,53.67,$199.99
618,GeForce RTX 3050 6GB Laptop GPU,10279,239,,
619,GeForce RTX 3050 8GB,12580,188,52.42,$239.99*
620,GeForce RTX 3050 A Laptop GPU,11939,202,,
621,GeForce RTX 3050 OEM,11850,205,52.95,$223.83*
622,GeForce RTX 3050 Ti Laptop GPU,10122,243,,
623,GeForce RTX 3060 12GB,16840,103,51.03,$329.99*
624,GeForce RTX 3060 8GB,15239,133,,
625,GeForce RTX 3060 Laptop GPU,13235,170,42.7,$309.99*
626,GeForce RTX 3060 Ti,20375,66,38.44,$529.99*
627,GeForce RTX 3070,22238,55,8.66,"$2,569.43"
628,GeForce RTX 3070 Laptop GPU,15348,129,,
629,GeForce RTX 3070 Ti,23390,45,26.9,$869.39
630,GeForce RTX 3070 Ti Laptop GPU,17788,90,,
631,GeForce RTX 3080,25129,36,13.3,"$1,889.64"
632,GeForce RTX 3080 12GB,26571,34,,
633,GeForce RTX 3080 Laptop GPU,16405,109,,
634,GeForce RTX 3080 Ti,26921,30,16.87,"$1,595.74"
635,GeForce RTX 3080 Ti Laptop GPU,19379,81,,
636,GeForce RTX 3090,26651,33,13.93,"$1,913.94"
637,GeForce RTX 3090 Ti,29499,16,14.82,"$1,990.00*"
638,GeForce RTX 4050 Laptop GPU,14437,146,,
639,GeForce RTX 4060,19703,76,45.82,$429.99
640,GeForce RTX 4060 Laptop GPU,17519,92,,
641,GeForce RTX 4060 Ti,22723,49,41.41,$548.79*
642,GeForce RTX 4060 Ti 16GB,22749,48,50.56,$449.99*
643,GeForce RTX 4070,26941,29,45.67,$589.99*
644,GeForce RTX 4070 Laptop GPU,19582,77,,
645,GeForce RTX 4070 SUPER,29987,15,35.4,$847.13*
646,GeForce RTX 4070 Ti,31637,11,34.8,$909.03*
647,GeForce RTX 4070 Ti SUPER,31757,10,18.67,"$1,701.19*"
648,GeForce RTX 4080,34435,5,22.99,"$1,498.07*"
649,GeForce RTX 4080 Laptop GPU,24985,38,,
650,GeForce RTX 4080 SUPER,34244,6,31.13,"$1,099.99*"
651,GeForce RTX 4090,38264,3,17.76,"$2,153.94*"
652,GeForce RTX 4090 D,31935,9,,
653,GeForce RTX 4090 Laptop GPU,27264,27,,
654,GeForce RTX 5060,21391,61,66.85,$319.99
655,GeForce RTX 5060 Laptop GPU,19481,80,,
656,GeForce RTX 5060 Ti,22518,52,53.62,$419.99
657,GeForce RTX 5070,28918,19,47.41,$609.99
658,GeForce RTX 5070 Laptop GPU,20591,64,,
659,GeForce RTX 5070 Ti,32825,7,33.5,$979.99
660,GeForce RTX 5070 Ti Laptop GPU,24376,40,,
661,GeForce RTX 5080,36144,4,26.23,"$1,377.98"
662,GeForce RTX 5080 Laptop GPU,28020,23,,
663,GeForce RTX 5090,39815,2,,
664,GeForce RTX 5090 D,39850,1,,
665,GeForce RTX 5090 Laptop GPU,30505,13,,
666,GeForce2 Go,4,2617,,
667,GeForce2 GTS/GeForce2 Pro,3,2622,,
668,GeForce2 Integrated GPU,4,2612,,
669,GeForce2 MX,2,2660,,
670,GeForce2 MX 100/200,3,2646,,
671,GeForce2 MX with DVI-D and TV-out,4,2596,,
672,GeForce2 MX with TV Out,2,2668,,
673,GeForce2 MX/MX 400,3,2624,,
674,GeForce2 Ti,4,2604,,
675,GeForce2 Ultra,6,2563,,
676,GeForce3,4,2593,,
677,GeForce3 Ti 200,4,2619,,
678,GeForce3 Ti 500,2,2670,,
679,GeForce4 420 Go,3,2643,,
680,GeForce4 420 Go 32M,5,2583,,
681,GeForce4 4200 Go,3,2623,,
682,GeForce4 440,4,2590,,
683,GeForce4 440 Go,3,2630,,
684,GeForce4 440 Go 64M,5,2569,,
685,GeForce4 448 Go,5,2580,,
686,GeForce4 MX 4000,4,2610,,
687,GeForce4 MX 420,4,2597,,
688,GeForce4 MX 440,4,2607,,
689,GeForce4 MX 440 with AGP8X,4,2594,,
690,GeForce4 MX 440SE,4,2606,,
691,GeForce4 MX 460,4,2616,,
692,GeForce4 MX Integrated GPU,6,2561,,
693,GeForce4 Ti 4200,5,2579,,
694,GeForce4 Ti 4400,7,2554,,
695,GeForce4 Ti 4600,5,2581,0.1,$53.99*
696,GeForce4 Ti 4800,5,2571,,
697,GeForce4 Ti 4800 SE,6,2557,,
698,GeForce9400M,105,2217,,
699,GF117,554,1656,,
700,Glenfly Arise-GT-10C0,1007,1230,,
701,GRID GTX P40-6,4340,522,,
702,GRID K1,650,1527,1.65,$395.00*
703,GRID K120Q,293,1922,,
704,GRID K140Q,727,1451,,
705,GRID K160Q,628,1559,,
706,GRID K180Q,533,1686,,
707,GRID K2,2736,689,2.05,"$1,331.97*"
708,GRID K220Q,912,1295,,
709,GRID K240Q,2541,722,,
710,GRID K260Q,2949,660,,
711,GRID K280Q,2839,671,,
712,GRID K520,3516,589,23.44,$149.99*
713,GRID M10-0B,870,1320,,
714,GRID M10-0Q,795,1385,,
715,GRID M10-1B,1493,1045,,
716,GRID M10-1Q,2384,750,,
717,GRID M10-2B,2145,814,,
718,GRID M10-2Q,2691,695,,
719,GRID M10-4Q,2976,655,,
720,GRID M10-8Q,2068,837,,
721,GRID M6-0B,911,1296,,
722,GRID M6-1Q,2069,836,,
723,GRID M6-8Q,3568,584,,
724,GRID M60-0B,1838,920,,
725,GRID M60-0Q,827,1356,,
726,GRID M60-1B,4456,513,,
727,GRID M60-1Q,3694,565,,
728,GRID M60-2Q,5203,441,,
729,GRID M60-4Q,3831,554,,
730,GRID M60-8A,5523,416,,
731,GRID M60-8Q,3883,549,,
732,GRID P100-16Q,5944,386,,
733,GRID P100-1B,2223,797,,
734,GRID P100-8Q,3267,616,,
735,GRID P4-1B,2151,811,,
736,GRID P4-4Q,6234,371,,
737,GRID P4-8A,3206,626,,
738,GRID P4-8Q,5355,426,,
739,GRID P40-12Q,8053,304,,
740,GRID P40-24Q,8719,283,,
741,GRID P40-2B,9842,247,,
742,GRID P40-2B4,8160,299,,
743,GRID P40-2Q,4130,531,,
744,GRID P40-3Q,681,1494,,
745,GRID P40-4Q,5145,448,,
746,GRID P40-8Q,7507,331,,
747,GRID P6-2Q,3925,544,,
748,GRID P6-4Q,4429,515,,
749,GRID RTX6000-1B,8473,289,,
750,GRID RTX6000-6Q,21986,58,,
751,GRID RTX6000P-6Q,4777,481,,
752,GRID RTX8000P-1B,1053,1205,,
753,GRID T4-16Q,4910,471,,
754,GRID T4-1B,1731,951,,
755,GRID T4-1Q,3302,612,,
756,GRID T4-2B,2900,666,,
757,GRID T4-2Q,3765,561,,
758,GRID T4-4Q,3608,577,,
759,GRID T4-8Q,5565,412,,
760,GRID V100-8Q,16,2519,,
761,GRID V100D-8Q,4155,530,,
762,GT 430,223,1998,1.56,$142.88*
763,IncrediblE HD,389,1838,,
764,IncrediblE HD 4000,517,1708,,
765,IncrediblE HD 4600,749,1429,,
766,Intel - Express Chipset G41,56,2358,,
767,Intel - Express Chipset Q45/Q43,57,2353,,
768,Intel 2nd Generation SandyBridge HD,169,2069,,
769,Intel 2nd Generation SandyBridge HD 3000,205,2026,,
770,Intel 4th Generation Haswell HD,419,1815,,
771,Intel 82845G Controller,2,2677,,
772,Intel 82845G/GL Controller,2,2665,,
773,Intel 82845G/GL/GE/PE/GV Controller,2,2657,,
774,Intel 82852/82855 GM/GME Controller,1,2689,,
775,Intel 82865G Controller,4,2601,,
776,Intel 82915G Express,5,2575,,
777,Intel 82915G/915GV/910GL,3,2631,,
778,Intel 82915G/GV/910GL Advanced v3.5,2,2664,,
779,Intel 82915G/GV/910GL Express,3,2652,,
780,Intel 82945G Express,10,2535,,
781,Intel 82945G Express-Chipsatzfamilie,8,2546,,
782,Intel 865 Embedded Controller,3,2632,,
783,"Intel 915G,910G Express",4,2621,,
784,Intel 915G/915GV/910GL Embedded Controller Functio,4,2602,,
785,Intel 945G Embedded Chipset Function 0,4,2609,,
786,Intel 946GZ Embedded Chipset,3,2647,,
787,Intel 946GZ Express,2,2679,,
788,Intel Arc,5501,417,18.97,$289.99
789,Intel Arc 130T GPU,6409,366,,
790,Intel Arc 130V GPU,4629,495,,
791,Intel Arc 140T,5634,402,,
792,Intel Arc 140T GPU,6866,346,,
793,Intel Arc 140V GPU,5230,439,,
794,Intel Arc A310,5436,422,37.05,$146.75
795,Intel Arc A310 LP,4815,475,,
796,Intel Arc A370M,5115,452,,
797,Intel Arc A380,6255,369,39.05,$160.17
798,Intel Arc A530M,7673,318,,
799,Intel Arc A580,11930,203,66.29,$179.99*
800,Intel Arc A730M,9808,248,,
801,Intel Arc A750,12446,191,62.24,$199.99*
802,Intel Arc A770,13186,171,29.97,$439.99*
803,Intel Arc A770M,11983,201,,
804,Intel Arc B570,13823,155,,
805,Intel Arc B580,15761,119,63.3,$249.00*
806,Intel Arc Pro,5741,399,,
807,Intel Arc Pro 140T GPU,6803,349,,
808,Intel Arc Pro A60,9194,269,,
809,Intel B43 Express Chipset,138,2124,,
810,Intel Coffee Lake UHD,1158,1161,,
811,Intel Extreme Controller,1,2680,,
812,Intel G33/G31 Express,39,2421,,
813,Intel G35 Express,2097,832,,
814,Intel G41 Express Chipset,141,2115,,
815,Intel G41 Express-Chipsatz,57,2355,,
816,Intel G45/G43 Express Chipset,137,2125,,
817,Intel G45/G43/G41 Express Chipset,67,2325,,
818,Intel G965 Express,222,1999,,
819,Intel GMA 3150 Express,2,2671,,
820,Intel Graphics,3161,634,,
821,Intel Haswell HD - GT1,123,2165,,
822,Intel Haswell HD - GT2,139,2122,,
823,Intel HD 2000,213,2014,,
824,Intel HD 3000,260,1958,0.28,$945.00*
825,Intel HD 4000,345,1876,0.22,"$1,592.95*"
826,Intel HD 4400,523,1700,,
827,Intel HD 4600,629,1557,,
828,Intel HD 4600 manual-gen9_2015-134121,619,1567,,
829,Intel HD 500,299,1920,,
830,Intel HD 5000,583,1615,0.93,$625.00*
831,Intel HD 505,360,1868,,
832,Intel HD 510,622,1565,,
833,Intel HD 515,637,1542,,
834,Intel HD 520,864,1325,,
835,Intel HD 5200,830,1355,,
836,Intel HD 530,993,1245,,
837,Intel HD 5300,404,1829,,
838,Intel HD 5500,593,1599,,
839,Intel HD 5600,1868,908,,
840,Intel HD 6000,873,1317,,
841,Intel HD 610,691,1485,,
842,Intel HD 615,701,1478,,
843,Intel HD 630,1114,1175,,
844,Intel HD Family,463,1774,,
845,Intel HD Graphics 620,921,1289,,
846,Intel HD manual-15.28-1861,62,2341,,
847,Intel HD manual-gen9_2015-133271,165,2076,,
848,Intel HD Modded,112,2200,,
849,Intel HD P3000,282,1937,,
850,Intel HD P4000,516,1709,,
851,Intel HD P4600,505,1724,,
852,Intel HD P4600/P4700,631,1553,,
853,Intel HD P530,1161,1158,,
854,Intel HD P630,1226,1129,,
855,Intel Infoshock HD,193,2038,,
856,Intel Iris 5100,740,1441,,
857,Intel Iris 540,1260,1117,,
858,Intel Iris 550,1439,1060,,
859,Intel Iris 6100,901,1301,,
860,Intel Iris 650,1432,1064,,
861,Intel Iris Plus,1807,931,,
862,Intel Iris Plus 640,1358,1086,,
863,Intel Iris Plus 645,1749,944,,
864,Intel Iris Plus 650,1611,1001,,
865,Intel Iris Plus 655,1719,957,,
866,Intel Iris Pro 5200,1180,1147,,
867,Intel Iris Pro 580,1997,860,,
868,Intel Iris Pro 6100,925,1288,,
869,Intel Iris Pro Graphics 6200,1525,1035,,
870,Intel Iris Pro P580,1845,916,,
871,Intel Iris Pro P6300,1596,1007,,
872,Intel Iris Xe,2657,700,,
873,Intel Iris Xe MAX,1971,872,,
874,Intel Iris Xe MAX 100,1964,877,,
875,Intel Media Accelerator,32,2459,,
876,Intel Media Accelerator 3150,2,2656,,
877,Intel Media Accelerator 500,3,2639,,
878,Intel Media Accelerator 600,6,2556,,
879,Intel Media Accelerator HD,106,2214,,
880,Intel Poison Ivy,738,1442,,
881,Intel Q33 Express,7,2553,,
882,Intel Q35 Embedded,8,2542,,
883,Intel Q35 Express,64,2337,,
884,Intel Q45/Q43 Express Chipset,202,2027,,
885,Intel Q45/Q43 Express-Chipsatz,57,2356,,
886,Intel Q965/Q963 Express,135,2131,,
887,Intel Skylake HD DT GT2,576,1626,,
888,Intel UHD 630,614,1577,,
889,Intel UHD Graphics,1495,1044,,
890,Intel UHD Graphics 600,317,1908,,
891,Intel UHD Graphics 605,368,1859,,
892,Intel UHD Graphics 610,686,1489,,
893,Intel UHD Graphics 615,722,1457,,
894,Intel UHD Graphics 617,855,1330,,
895,Intel UHD Graphics 620,1042,1214,,
896,Intel UHD Graphics 630,1236,1124,,
897,Intel UHD Graphics 710,1077,1193,,
898,Intel UHD Graphics 730,1562,1019,,
899,Intel UHD Graphics 750,1718,958,,
900,Intel UHD Graphics 770,1905,894,,
901,Intel UHD Graphics P630,2045,844,,
902,Intel UHD Graphics P750,1662,977,,
903,Intel US15 Embedded Media and Controller,7,2552,,
904,ION,108,2210,0.47,$229.99*
905,ION LE,97,2241,,
906,L4,7582,326,,
907,L4-1Q,258,1962,,
908,L4-2A,3063,645,,
909,L4-2Q,4062,536,,
910,L4-4Q,4926,469,,
911,L4-6Q,4473,509,,
912,L40-8Q,11670,213,,
913,L40S,20022,68,,
914,L40S-12Q,4500,504,,
915,M860G with Mobility Radeon 4100,75,2299,,
916,M880G with Mobility Radeon HD 4200,92,2255,,
917,M880G with Mobility Radeon HD 4225,71,2310,,
918,M880G with Mobility Radeon HD 4250,104,2223,,
919,Master X3100 Driver,10,2533,,
920,Matrox C420 LP PCIe x16,597,1594,,
921,Matrox C680 PCIe x16,1903,896,,
922,Matrox C900 PCIe x16,1812,929,,
923,Matrox G200e WDDM 1.2,59,2348,,
924,Matrox G200e WDDM 2.0,100,2235,,
925,Matrox G200eh,40,2413,,
926,Matrox G200eh WDDM 1.2,51,2366,,
927,Matrox G200eh WDDM 2.0,49,2378,,
928,Matrox G200eR,36,2435,,
929,Matrox G200eR WDDM 1.2,45,2394,,
930,Matrox G200eR WDDM 2.0,67,2326,,
931,Matrox G200eW,39,2418,,
932,Matrox G200eW WDDM 1.2,50,2377,,
933,Matrox G200eW3 WDDM 2.0,89,2265,,
934,Matrox LUMA A310,3690,567,,
935,Matrox LUMA A310F,3873,551,,
936,Matrox LUMA A380P,5811,393,,
937,Matrox M9120 PCIe x16,19,2506,,
938,Matrox M9120 Plus LP PCIe x16,25,2484,,
939,Matrox M9125 PCIe x16,25,2486,,
940,Matrox M9128 LP PCIe x16,31,2464,,
941,Matrox M9138 LP PCIe x16,42,2406,,
942,Matrox M9140 LP PCIe x16,23,2497,,
943,Matrox M9148 LP PCIe x16,40,2415,,
944,Matrox M9188 ATX PCIe x16,45,2393,,
945,Matrox Millennium P650 PCIe 128,5,2584,,
946,Matrox Millennium P690 PCIe x16,366,1862,,
947,Matrox Millennium P690 Plus LP PCIe x16,6,2558,,
948,Matrox Parhelia 128MB,3,2641,0.01,$393.99*
949,Matrox Parhelia 256MB,9,2536,,
950,Matrox Parhelia APVe,5,2577,,
951,MEDION RADEON 9800 XXL,71,2309,,
952,MEDION RADEON X740XL,94,2249,,
953,Meta Virtual Monitor,7142,336,,
954,Mi Pad 5 Adreno 640 GPU,657,1519,,
955,Mirage Driver,2038,846,,
956,MIRRORV3,1080,1191,,
957,Mobile Intel - famiglia Express Chipset 45,38,2425,,
958,Mobile Intel 4 Express-Chipsatzfamilie,44,2400,,
959,Mobile Intel 45 Express,39,2422,,
960,Mobile Intel 45 Express-Chipsatzfamilie,117,2184,,
961,Mobile Intel 915GM/GMS/910GML Express,1,2683,,
962,Mobile Intel 945 Express,1,2684,,
963,Mobile Intel 945GM Express,5,2572,,
964,Mobile Intel 945GM/GU Express,5,2585,,
965,Mobile Intel 965 Express,46,2390,,
966,Mobile Intel 965 Express - BR-0907-0461 v1839,8,2544,,
967,Mobile Intel 965 Express-Chipsatzfamilie,24,2494,,
968,Mobile Intel HD,244,1977,0.51,$479.98*
969,Mobile Intel serie 4 Express,44,2399,,
970,Mobile Intel965 Express,17,2516,,
971,MOBILITY FIREGL 7800,4,2598,,
972,MOBILITY FIREGL T2,40,2412,,
973,MOBILITY FIREGL T2/T2e,33,2452,,
974,MOBILITY FireGL V3200,62,2343,,
975,MOBILITY FireGL V5000,81,2285,,
976,MOBILITY FireGL V5200,44,2396,,
977,MOBILITY FireGL V5250,27,2475,,
978,Mobility FireGL V5725,219,2006,,
979,MOBILITY IGP 9000/9100,10,2534,,
980,Mobility Radeon 4100,81,2289,,
981,MOBILITY RADEON 7000 IGP,6,2564,,
982,MOBILITY RADEON 7500,3,2635,,
983,MOBILITY RADEON 9000,3,2645,,
984,MOBILITY RADEON 9000 IGP,7,2547,,
985,MOBILITY RADEON 9000/9100 IGP,5,2576,,
986,MOBILITY RADEON 9100 IGP,2,2655,,
987,MOBILITY RADEON 9200,3,2654,,
988,MOBILITY RADEON 9550,30,2469,,
989,MOBILITY RADEON 9600,36,2439,,
990,MOBILITY RADEON 9600 PRO TURBO,24,2490,,
991,MOBILITY RADEON 9600/9700,39,2423,,
992,MOBILITY RADEON 9700,27,2474,,
993,MOBILITY RADEON 9800,46,2391,,
994,Mobility Radeon HD 2300,50,2374,,
995,Mobility Radeon HD 2400,89,2264,,
996,Mobility Radeon HD 2400 XT,102,2229,,
997,Mobility Radeon HD 2600,167,2072,,
998,Mobility Radeon HD 2600 XT,191,2041,,
999,Mobility Radeon HD 3400 Serisi,111,2203,,
1000,Mobility Radeon HD 3410,62,2340,,
1001,Mobility Radeon HD 3430,98,2240,,
1002,Mobility Radeon HD 3450,91,2262,,
1003,Mobility Radeon HD 3470,93,2252,,
1004,Mobility Radeon HD 3470 Hybrid X2,93,2251,,
1005,Mobility Radeon HD 3650,141,2113,1.93,$73.53*
1006,Mobility Radeon HD 3670,232,1987,,
1007,Mobility Radeon HD 3850,365,1864,,
1008,Mobility Radeon HD 3870,547,1668,,
1009,Mobility Radeon HD 3870 X2,477,1750,,
1010,Mobility Radeon HD 4200,90,2263,,
1011,Mobility Radeon HD 4225,66,2333,,
1012,Mobility Radeon HD 4250,98,2238,,
1013,Mobility Radeon HD 4270,92,2254,,
1014,Mobility Radeon HD 4300 Serisi,73,2305,,
1015,Mobility Radeon HD 4330,135,2132,,
1016,Mobility Radeon HD 4350,148,2096,,
1017,Mobility Radeon HD 4550,191,2043,,
1018,Mobility Radeon HD 4570,149,2092,1.98,$75.90*
1019,Mobility Radeon HD 4650,401,1832,,
1020,Mobility Radeon HD 4670,463,1775,,
1021,Mobility Radeon HD 4830,511,1711,,
1022,Mobility Radeon HD 4850,866,1323,,
1023,Mobility Radeon HD 4870,719,1459,,
1024,Mobility Radeon HD 5000,773,1405,,
1025,Mobility Radeon HD 5000 Serisi,478,1746,,
1026,Mobility Radeon HD 5165,284,1934,,
1027,Mobility Radeon HD 530v,174,2057,,
1028,Mobility Radeon HD 540v,188,2044,,
1029,Mobility Radeon HD 5430,181,2046,,
1030,Mobility Radeon HD 5450,214,2012,,
1031,Mobility Radeon HD 545v,199,2031,,
1032,Mobility Radeon HD 5470,236,1984,,
1033,Mobility Radeon HD 550v,266,1952,,
1034,Mobility Radeon HD 5570,525,1696,,
1035,Mobility Radeon HD 560v,318,1907,,
1036,Mobility Radeon HD 5650,443,1796,,
1037,Mobility Radeon HD 565v,353,1872,,
1038,Mobility Radeon HD 5730,508,1717,,
1039,Mobility Radeon HD 5850,763,1417,,
1040,Mobility Radeon HD 5870,1091,1187,,
1041,Mobility Radeon HD serie 4200,96,2245,,
1042,Mobility Radeon X1300,39,2419,,
1043,Mobility Radeon X1350,39,2417,,
1044,Mobility Radeon X1400,42,2403,,
1045,Mobility Radeon X1450,33,2455,,
1046,Mobility Radeon X1600,92,2257,,
1047,Mobility Radeon X1700,104,2220,,
1048,MOBILITY RADEON X1800,130,2144,,
1049,Mobility Radeon X1900,134,2134,,
1050,Mobility Radeon X2300,48,2385,,
1051,Mobility Radeon X2300 HD,48,2384,,
1052,Mobility Radeon X2500,81,2284,,
1053,MOBILITY RADEON X300,33,2451,,
1054,MOBILITY RADEON X600,50,2376,,
1055,MOBILITY RADEON X600 SE,49,2380,,
1056,MOBILITY RADEON X700,66,2330,,
1057,MOBILITY RADEON X700 XL,59,2345,,
1058,MOBILITY RADEON XPRESS 200,27,2478,,
1059,Mobility Radeon. HD 5470,215,2011,,
1060,MOBILITY/RADEON 9000,4,2618,,
1061,MONSTER GeForce GTX 675M,2637,703,,
1062,Moore Threads S3000 MTvGPU-1132,1997,861,,
1063,MxGPU,1282,1108,,
1064,N16P-GX,1204,1137,,
1065,N18E-Q1,2525,727,,
1066,nForce 750a SLI,83,2280,,
1067,nForce 760i SLI,140,2120,,
1068,nForce 780a SLI,92,2258,,
1069,nForce 980a/780a SLI,164,2078,,
1070,NV44,15,2520,,
1071,NVIDIA A10,22064,57,,
1072,NVIDIA A10-4Q,2756,686,,
1073,NVIDIA A10G,17660,91,,
1074,NVIDIA A40,13900,154,,
1075,NVIDIA A40-12Q,4335,523,,
1076,NVIDIA A40-4Q,4727,487,,
1077,NVIDIA A40-8Q,4681,492,,
1078,NVIDIA GeForce3 Ti200,5,2574,,
1079,NVIDIA TITAN X,13659,159,22.46,$608.10*
1080,NVIDIA TITAN Xp,18796,83,11.43,"$1,645.00*"
1081,NVS 2100M,139,2121,,
1082,NVS 300,121,2171,1.93,$62.97*
1083,NVS 310,265,1953,4.28,$62.06*
1084,NVS 3100M,118,2181,,
1085,NVS 315,320,1904,4.58,$69.99*
1086,NVS 4200M,297,1921,0.75,$399.00*
1087,NVS 510,682,1493,6.09,$111.99*
1088,NVS 5100M,199,2030,,
1089,NVS 5200M,505,1723,,
1090,NVS 5400M,617,1572,,
1091,NVS 810,1190,1144,1.9,$624.99*
1092,OPAL XT/GL,1053,1206,,
1093,P102-100,2911,665,,
1094,P104-100,3602,578,12.01,$299.99*
1095,P106-090,2404,743,,
1096,P106-100,6641,357,,
1097,Parsec Virtual Display Adapter,6220,374,,
1098,PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C3 Ryzen,1653,983,,
1099,PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C7 Ryzen,1642,988,,
1100,PHDGD Ivy 4,374,1854,,
1101,PHDGD Ivy 5,445,1795,,
1102,PHDGD Quantic C3,116,2185,,
1103,PHDGD Sapphire GR for Mobile Intel 965,25,2483,,
1104,PHDGD Solo 1.2.0 x86,11,2532,,
1105,PHDGD Solo 2 x64,20,2505,,
1106,Q12U-1,5164,445,,
1107,Quadro 1000M,559,1649,10.26,$54.50*
1108,Quadro 1100M,755,1426,,
1109,Quadro 2000,946,1268,4.44,$213.23*
1110,Quadro 2000 D,1239,1119,,
1111,Quadro 2000D,976,1250,1.72,$566.12*
1112,Quadro 2000M,776,1397,3.38,$229.74*
1113,Quadro 2100M,1100,1180,,
1114,Quadro 280 NVS PCIe,5,2573,,
1115,Quadro 3000M,999,1236,14.29,$69.99*
1116,Quadro 400,148,2095,0.7,$211.00*
1117,Quadro 4000,1475,1056,2.98,$495.00*
1118,Quadro 4000M,1287,1106,5.55,$232.06*
1119,Quadro 410,439,1799,3.41,$129.00*
1120,Quadro 5000,1958,881,0.9,"$2,176.34"
1121,Quadro 5000M,2059,841,,
1122,Quadro 500M,570,1637,2.07,$275.14*
1123,Quadro 5010M,1691,971,7.17,$235.95*
1124,Quadro 600,524,1698,6.91,$76.00*
1125,Quadro 6000,2687,697,0.66,"$4,092.38*"
1126,Quadro 7000,3505,590,,
1127,Quadro CX,947,1267,6.32,$149.95*
1128,Quadro FX 1000,34,2447,,
1129,Quadro FX 1100,35,2440,0.17,$212.99*
1130,Quadro FX 1300,34,2446,,
1131,Quadro FX 1400,124,2163,0.51,$245.01*
1132,Quadro FX 1500,169,2067,0.36,$465.33
1133,Quadro FX 1500M,171,2062,,
1134,Quadro FX 1600M,231,1989,1.54,$149.90*
1135,Quadro FX 1700,207,2023,0.59,$350.14*
1136,Quadro FX 1700M,172,2061,,
1137,Quadro FX 1800,402,1830,2.98,$135.00*
1138,Quadro FX 1800M,494,1735,,
1139,Quadro FX 2000,18,2513,,
1140,Quadro FX 2500M,217,2007,12.45,$17.50*
1141,Quadro FX 2700,543,1678,,
1142,Quadro FX 2700M,366,1861,3.67,$99.95*
1143,Quadro FX 2800M,414,1820,2.18,$190.00*
1144,Quadro FX 3000,69,2321,0.41,$166.61*
1145,Quadro FX 3400/4400,104,2222,,
1146,Quadro FX 3450,148,2094,1.24,$119.99*
1147,Quadro FX 3450/4000 SDI,179,2050,,
1148,Quadro FX 350,85,2270,,
1149,Quadro FX 3500,259,1960,3.77,$68.98*
1150,Quadro FX 3500M,306,1916,3.06,$99.99*
1151,Quadro FX 350M,44,2398,,
1152,Quadro FX 3600M,466,1768,,
1153,Quadro FX 360M,86,2268,,
1154,Quadro FX 370,83,2279,0.67,$125.00*
1155,Quadro FX 370 Low Profile,102,2226,,
1156,Quadro FX 370 LP,108,2211,,
1157,Quadro FX 3700,372,1855,1.74,$213.27*
1158,Quadro FX 3700M,452,1787,0.49,$925.00*
1159,Quadro FX 370M,93,2253,,
1160,Quadro FX 380,173,2060,2.39,$72.50*
1161,Quadro FX 380 LP,144,2104,,
1162,Quadro FX 3800,827,1357,3.19,$259.13*
1163,Quadro FX 3800M,574,1631,,
1164,Quadro FX 380M,120,2173,,
1165,Quadro FX 4000,101,2233,,
1166,Quadro FX 4500,227,1992,1.34,$169.00*
1167,Quadro FX 4500 X2,236,1985,,
1168,Quadro FX 4600,413,1821,1.24,$333.25*
1169,Quadro FX 4700 X2,676,1502,,
1170,Quadro FX 4800,995,1241,0.6,"$1,660.81*"
1171,Quadro FX 500/600 PCI,14,2522,,
1172,Quadro FX 500/FX 600,7,2550,,
1173,Quadro FX 540,80,2291,1.35,$59.99*
1174,Quadro FX 550,63,2338,0.22,$287.82*
1175,Quadro FX 5500,242,1979,0.12,"$1,999.00*"
1176,Quadro FX 560,113,2195,0.76,$150.25*
1177,Quadro FX 5600,525,1697,1.78,$295.00*
1178,Quadro FX 570,248,1973,2.16,$115.00*
1179,Quadro FX 570M,99,2236,,
1180,Quadro FX 580,173,2059,1.34,$130.00*
1181,Quadro FX 5800,1210,1134,4.42,$274.00*
1182,Quadro FX 770M,220,2004,0.42,$527.00*
1183,Quadro FX 880M,230,1990,,
1184,Quadro FX Go1400,101,2230,,
1185,Quadro GP100,14953,140,,
1186,Quadro GV100,19832,73,2.2,"$8,999.00*"
1187,Quadro K1000M,770,1411,11.01,$69.95*
1188,Quadro K1100M,1088,1189,3.37,$322.99*
1189,Quadro K1200,2955,658,10.36,$285.29*
1190,Quadro K2000,1579,1013,5.37,$294.00*
1191,Quadro K2000D,1590,1009,4.68,$339.99*
1192,Quadro K2000M,1003,1232,6.97,$144.04*
