,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
1760,Radeon HD 8570D + R7 240 Dual,963,1261,,
1761,Radeon HD 8570M,449,1791,,
1762,Radeon HD 8600/8700M,1029,1218,,
1763,Radeon HD 8610G,407,1824,,
1764,Radeon HD 8610G + 8500M Dual,610,1584,,
1765,Radeon HD 8610G + 8600M Dual,588,1604,,
1766,Radeon HD 8610G + 8670M Dual,599,1593,,
1767,Radeon HD 8610G + HD 8500M Dual,645,1535,,
1768,Radeon HD 8610G + HD 8600M Dual,480,1744,,
1769,Radeon HD 8610G + HD 8670M Dual,577,1623,,
1770,Radeon HD 8610G + R5 M200 Dual,676,1501,,
1771,Radeon HD 8650D,396,1835,,
1772,Radeon HD 8650G,517,1707,,
1773,Radeon HD 8650G + 7600M Dual,741,1440,,
1774,Radeon HD 8650G + 7670M Dual,883,1313,,
1775,Radeon HD 8650G + 7700M Dual,1126,1170,,
1776,Radeon HD 8650G + 8500M Dual,626,1562,,
1777,Radeon HD 8650G + 8570M Dual,654,1524,,
1778,Radeon HD 8650G + 8600/8700M Dual,831,1353,,
1779,Radeon HD 8650G + 8600M Dual,613,1579,,
1780,Radeon HD 8650G + 8670M Dual,635,1549,,
1781,Radeon HD 8650G + 8750M Dual,786,1390,,
1782,Radeon HD 8650G + HD 7600M Dual,819,1364,,
1783,Radeon HD 8650G + HD 7670M Dual,634,1550,,
1784,Radeon HD 8650G + HD 8570M Dual,716,1463,,
1785,Radeon HD 8650G + HD 8600/8700M Dual,763,1416,,
1786,Radeon HD 8650G + HD 8600M Dual,606,1587,,
1787,Radeon HD 8650G + HD 8600M N HD 8600M Dual,757,1423,,
1788,Radeon HD 8650G + HD 8670M Dual,585,1614,,
1789,Radeon HD 8650G + HD 8750M Dual,651,1525,,
1790,Radeon HD 8650G + HD 8790M Dual,799,1381,,
1791,Radeon HD 8650G + R5 M200 Dual,722,1456,,
1792,Radeon HD 8650G + R5 M230 Dual,686,1490,,
1793,Radeon HD 8650G N HD 8650G + HD 8570M Dual,773,1404,,
1794,Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,796,1383,,
1795,Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,679,1496,,
1796,Radeon HD 8670D,533,1687,,
1797,Radeon HD 8670D + 6670 Dual,1361,1084,,
1798,Radeon HD 8670D + 7000 Dual,811,1373,,
1799,Radeon HD 8670D + 7700 Dual,1788,934,,
1800,Radeon HD 8670D + 8570 Dual,974,1253,,
1801,Radeon HD 8670D + HD 6670 Dual,1221,1131,,
1802,Radeon HD 8670D + HD 7000 Dual,718,1461,,
1803,Radeon HD 8670D + HD 7600 Dual,1317,1096,,
1804,Radeon HD 8670D + HD 7700 Dual,1892,900,,
1805,Radeon HD 8670D + R5 235 Dual,836,1346,,
